"","Prior","P1.Alg","P2.Alg","Time.Horizon","Agent.Alg","Market.Share.for.P1","P1.Regret","P2.Regret","Abs.Delta.Regret","Memory.Size"
"114","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00726666666666665,NA,1000
"115","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00699999999999999,NA,1000
"116","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00708571428571431,NA,1000
"117","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00674000000000004,NA,1000
"118","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00673333333333338,NA,1000
"119","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00669333333333339,NA,1000
"120","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",1,0.0044,NA,NA,1000
"121","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",1,0.00186666666666667,NA,NA,1000
"122","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",1,0.00124,NA,NA,1000
"123","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",1,0.000885714285714286,NA,NA,1000
"124","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",1,0.00064,NA,NA,1000
"125","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",1,0.00055,NA,NA,1000
"126","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",1,0.000453333333333334,NA,NA,1000
"127","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.007,NA,1000
"128","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00646666666666665,NA,1000
"129","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00659999999999999,NA,1000
"130","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.00642857142857144,NA,1000
"131","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00648000000000004,NA,1000
"132","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00636666666666671,NA,1000
"133","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00649333333333339,NA,1000
"134","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0,NA,0.0088,NA,1000
"135","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0,NA,0.00693333333333332,NA,1000
"136","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0,NA,0.00728,NA,1000
"137","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0,NA,0.0071714285714286,NA,1000
"138","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",0,NA,0.00708000000000005,NA,1000
"139","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0,NA,0.00695000000000005,NA,1000
"140","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",15000,"HardMax",0,NA,0.00700000000000006,NA,1000
"141","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",1000,"HardMax",0.007,0.2,0.00805639476334341,0.191943605236657,1000
"142","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",3000,"HardMax",0.00233333333333333,0.2,0.00748412963581689,0.192515870364183,1000
"143","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",5000,"HardMax",0.0014,0.2,0.00753054275986381,0.192469457240136,1000
"144","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",7000,"HardMax",0.001,0.2,0.00723580723580726,0.192764192764193,1000
"145","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",10000,"HardMax",8e-04,0.175,0.00704563650920741,0.167954363490793,1000
"146","Needle In Haystack High","ThompsonSampling","DynamicEpsilonGreedy",12000,"HardMax",0.000666666666666667,0.175,0.00717144763175456,0.167828552368245,1000
