P1 Number of NaNs,P2 Number of NaNs,Prior,P1 Alg,P2 Alg,Time Horizon,Agent Alg,Market Share for P1,P1 Regret Mean,P1 Regret Std,P2 Regret Mean,P2 Regret Std,Abs Average Delta Regret,Memory Size
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.50435345861655334,0.013252110624330396,0.010033541634492825,0.016921589248966674,0.018800549837682447,0.017165108296434119,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.10489884046381445,0.02342441392595505,0.011960158761903249,0.027792094640134102,0.021175943355248014,0.02306244412973291,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.31769852059176334,0.016631516303959152,0.010623636554734556,0.02454622393806764,0.021055373853044717,0.022226663691097628,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.54181367453018792,0.012671179912652642,0.0093705421439733184,0.022301393557540787,0.0206661374803668,0.020998113735773007,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.097082766893242689,0.025341992348699174,0.011406922771209648,0.025925824142962763,0.020473792462216738,0.021423308525515359,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.32247261095561769,0.018681427336317415,0.011130723123794662,0.023114641254227193,0.021103525450996453,0.023076089765604806,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.56865253898440615,0.01470105399978967,0.010063736100487473,0.021999118125034189,0.021222712176994327,0.022010118509052396,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.10189204318272689,0.024077292267760248,0.011334966475698557,0.030071857934276303,0.02390882489707458,0.024770020706617692,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMaxWithRandom,0.31865333866453427,0.017604166026651772,0.01043945635763047,0.030024084337480265,0.024285405974808646,0.027351324317664509,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMaxWithRandom,0.54040303878448626,0.013833693883812559,0.0096914210588044166,0.029836655607395159,0.024302777417928287,0.02842050338929113,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.10451979208316672,0.022212276328814232,0.011575142303339695,0.026548665116614311,0.024169043912634854,0.025821057249989395,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMaxWithRandom,0.31684126349460212,0.016863398847935723,0.010474706012043058,0.026420320633308448,0.024734096747941327,0.027400058903661109,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMaxWithRandom,0.53129468212714914,0.013654585990739314,0.0092065263821468554,0.026414249385541051,0.024822614082839759,0.027389434618295405,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,1000,HardMaxWithRandom,0.10384166333466614,0.024531566104530292,0.011822899303621561,0.027802058626360579,0.022955551603781765,0.02334438190236901,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,3000,HardMaxWithRandom,0.3188868452618952,0.018045415777451349,0.01183646556812412,0.026387687720417049,0.024318812943945865,0.028335582688704022,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicGreedy,5000,HardMaxWithRandom,0.5547684926029588,0.014335235604833253,0.010624251188063984,0.025977685098114239,0.024481987266101065,0.028479774065227462,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.098562175129947999,0.028766773225917398,0.024222229582703491,0.022489992159006905,0.019821219215872418,0.026708268934715028,10
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.2797201119552179,0.028794199364340037,0.024537367179627189,0.017778940464716775,0.019041121042138183,0.027797265045470511,10
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.46610795681727307,0.028796590404948103,0.024607120680779856,0.015503952240931896,0.018142200790253867,0.028564914769493608,10
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.093260295881647345,0.03141762062340217,0.02304496935517724,0.025687246774047979,0.021427928891949242,0.027206356926647891,25
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.28102678928428626,0.031308264408935138,0.023820177011968275,0.02145461127434448,0.020469870768467281,0.027127047129226322,25
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.45523230707716916,0.031267299984015152,0.023960804856806669,0.018584759984654302,0.01946870760620734,0.027991694722591245,25
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,1000,HardMaxWithRandom,0.090194322271091559,0.029242859730980893,0.022642729280472822,0.023925061663549844,0.019780318935164284,0.021161544734436627,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,3000,HardMaxWithRandom,0.26675249900039982,0.028555069996793862,0.024299622883463462,0.018957065948627651,0.019752393207133141,0.023471498880199344,100
0,0,Needle In Haystack Medium,DynamicGreedy,DynamicEpsilonGreedy,5000,HardMaxWithRandom,0.42883806477409031,0.028488258153347986,0.024484400896614134,0.016451975079545596,0.019093193464324632,0.024152412442191198,100
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,SoftMax,0.10131147540983608,0.02355598616220753,0.01171994259442658,0.026979112957248662,0.021086346520961072,0.020182207826866458,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,SoftMax,0.30504758096761292,0.01810408688622395,0.010723546302056132,0.022778366787630573,0.020739725910146018,0.020135183900181604,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,5000,SoftMax,0.5082063174730107,0.014861634672175477,0.0099563520017425158,0.019787378434189075,0.01960132175372983,0.018405944422392122,10
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,1000,SoftMax,0.10009916033586566,0.024140219369441124,0.01350064404457073,0.024655414710655632,0.020624007392409691,0.021501338070643836,25
0,0,Needle In Haystack Medium,ThompsonSampling,DynamicEpsilonGreedy,3000,SoftMax,0.30353938424630145,0.017450954076448394,0.010983590442137821,0.018939974962409078,0.018907840652521431,0.017659424643303251,25
